SERIALNO,SPORDER,WGTP,PWGTP,HINCP,NP,NOC,GRPIP,MHP,FINCP,MRGP,OCPIP,STATE,TEN,HHT,HHT2,HUPAOC,CIT,FER
2023GQ0000161,1,0,91,-60000,1,-1,0,-1,-60000,0,0,27,b,b,bb,b,1,2
2023GQ0000316,1,0,52,-60000,1,-1,0,-1,-60000,0,0,27,b,b,bb,b,1,b
2023GQ0000328,1,0,127,-60000,1,-1,0,-1,-60000,0,0,27,b,b,bb,b,1,b
2023GQ0000450,1,0,14,-60000,1,-1,0,-1,-60000,0,0,27,b,b,bb,b,1,b
2023GQ0000474,1,0,3,-60000,1,-1,0,-1,-60000,0,0,27,b,b,bb,b,1,b
2023GQ0000639,1,0,115,-60000,1,-1,0,-1,-60000,0,0,27,b,b,bb,b,1,b
2023GQ0000752,1,0,99,-60000,1,-1,0,-1,-60000,0,0,27,b,b,bb,b,1,b
2023GQ0000890,1,0,136,-60000,1,-1,0,-1,-60000,0,0,27,b,b,bb,b,1,b
2023GQ0000895,1,0,62,-60000,1,-1,0,-1,-60000,0,0,27,b,b,bb,b,1,b
2023GQ0001048,1,0,21,-60000,1,-1,0,-1,-60000,0,0,27,b,b,bb,b,1,b
2023GQ0001075,1,0,30,-60000,1,-1,0,-1,-60000,0,0,27,b,b,bb,b,1,b
2023GQ0001140,1,0,34,-60000,1,-1,0,-1,-60000,0,0,27,b,b,bb,b,1,b
2023GQ0001155,1,0,67,-60000,1,-1,0,-1,-60000,0,0,27,b,b,bb,b,1,b
2023GQ0001176,1,0,117,-60000,1,-1,0,-1,-60000,0,0,27,b,b,bb,b,1,b
2023GQ0001225,1,0,23,-60000,1,-1,0,-1,-60000,0,0,27,b,b,bb,b,1,b
2023GQ0001278,1,0,55,-60000,1,-1,0,-1,-60000,0,0,27,b,b,bb,b,1,2
2023GQ0001328,1,0,50,-60000,1,-1,0,-1,-60000,0,0,27,b,b,bb,b,1,b
2023GQ0001416,1,0,56,-60000,1,-1,0,-1,-60000,0,0,27,b,b,bb,b,1,2
2023GQ0001418,1,0,47,-60000,1,-1,0,-1,-60000,0,0,27,b,b,bb,b,1,b
2023GQ0001425,1,0,84,-60000,1,-1,0,-1,-60000,0,0,27,b,b,bb,b,1,2
2023GQ0001429,1,0,47,-60000,1,-1,0,-1,-60000,0,0,27,b,b,bb,b,1,b
2023GQ0001479,1,0,59,-60000,1,-1,0,-1,-60000,0,0,27,b,b,bb,b,1,b
2023GQ0001486,1,0,3,-60000,1,-1,0,-1,-60000,0,0,27,b,b,bb,b,4,b
2023GQ0001775,1,0,82,-60000,1,-1,0,-1,-60000,0,0,27,b,b,bb,b,1,2
2023GQ0001788,1,0,9,-60000,1,-1,0,-1,-60000,0,0,27,b,b,bb,b,1,2
2023GQ0001834,1,0,145,-60000,1,-1,0,-1,-60000,0,0,27,b,b,bb,b,1,b
2023GQ0001869,1,0,53,-60000,1,-1,0,-1,-60000,0,0,27,b,b,bb,b,1,2
2023GQ0001887,1,0,38,-60000,1,-1,0,-1,-60000,0,0,27,b,b,bb,b,1,b
2023GQ0002042,1,0,87,-60000,1,-1,0,-1,-60000,0,0,27,b,b,bb,b,1,b
2023GQ0002120,1,0,144,-60000,1,-1,0,-1,-60000,0,0,27,b,b,bb,b,1,b
